name,year,funding
Cancer,2010,6626
Infectious Diseases,2010,4458
HIV/AIDS 6/,2010,3407
Digestive Diseases,2010,1885
Heart Disease,2010,1564
Diabetes 2/,2010,1199
Obesity,2010,971
Eye Disease And Disorders Of Vision,2010,927
Breast Cancer,2010,824
Liver Disease,2010,712
Alzheimer's Disease,2010,529
Kidney Disease,2010,650
Urologic Diseases,2010,619
Dental/Oral and Craniofacial Disease,2010,564
Cancer,2011,5488
Infectious Diseases,2011,3883
HIV/AIDS 6/,2011,3059
Digestive Diseases,2011,1698
Heart Disease,2011,1236
Diabetes 2/,2011,1076
Obesity,2011,830
Eye Disease And Disorders Of Vision,2011,831
Breast Cancer,2011,715
Liver Disease,2011,623
Alzheimer's Disease,2011,448
Kidney Disease,2011,557
Urologic Diseases,2011,542
Dental/Oral and Craniofacial Disease,2011,501
Cancer,2012,5621
Infectious Diseases,2012,3867
HIV/AIDS 6/,2012,3074
Digestive Diseases,2012,1719
Heart Disease,2012,1278
Diabetes 2/,2012,1061
Obesity,2012,836
Eye Disease And Disorders Of Vision,2012,841
Breast Cancer,2012,800
Liver Disease,2012,632
Alzheimer's Disease,2012,503
Kidney Disease,2012,556
Urologic Diseases,2012,496
Dental/Oral and Craniofacial Disease,2012,516
Cancer,2013,5274
Infectious Diseases,2013,4887
HIV/AIDS 6/,2013,2898
Digestive Diseases,2013,1575
Heart Disease,2013,1230
Diabetes 2/,2013,1007
Obesity,2013,812
Eye Disease And Disorders Of Vision,2013,774
Breast Cancer,2013,657
Liver Disease,2013,594
Alzheimer's Disease,2013,504
Kidney Disease,2013,551
Urologic Diseases,2013,497
Dental/Oral and Craniofacial Disease,2013,480
Cancer,2014,5418
Infectious Diseases,2014,5015
HIV/AIDS 6/,2014,2978
Digestive Diseases,2014,1617
Heart Disease,2014,1262
Diabetes 2/,2014,1028
Obesity,2014,834
Eye Disease And Disorders Of Vision,2014,793
Breast Cancer,2014,674
Liver Disease,2014,610
Alzheimer's Disease,2014,566
Kidney Disease,2014,565
Urologic Diseases,2014,510
Dental/Oral and Craniofacial Disease,2014,492
